ID;Name;Test value bioregion 1;Test value bioregion 2;Test value bioregion 3;Test value bioregion 4;Test value bioregion 5;Test value bioregion 6;Test value bioregion 7;Test value bioregion 8;Species group
80741;Agrostis schraderiana Bech., 1938;-2,86452409562233;-2,98797168494838;-5,92605722681212;-8,44982686651473;-2,35829638906941;-2,68877118832969;-0,252298433718962;28,6536420805519;l
80759;Agrostis stolonifera L., 1753;0,224987551149301;1,66392412317851;-4,07424134127847;1,78538857671877;-5,68354050765427;-6,0597116148015;4,3043433753289;5,13024538054076;i
80857;Aira caryophyllea L., 1753 (s. str.);-3,08725636888735;3,31633093796516;-4,37992961326511;3,65372442685298;5,23279017953705;4,6262559644893;-2,27422857595971;-4,60010435233315;a
80864;Aira cupaniana Guss., 1843;2,35627639386632;22,8943864512117;2,04426991856169;-3,07529317458908;-3,20958021836343;-4,32032753693776;-7,6171287573577;-5,71502246889181;d
80871;Aira elegantissima Schur, 1853;-3,0280071486746;14,0860377987279;-4,22951984981967;6,14535056738727;0,27772629219126;-3,42992022180128;-4,83716102929818;-4,53717246354766;d
80902;Aira multiculmis Dumort., 1824;-0,116822624339054;8,44200816910983;-1,56843546000457;-0,434277361118771;4,00883875985807;-1,79454991737964;-3,2382688944885;-2,37386934478629;c
80911;Aira praecox L., 1753;-2,0070260855705;-1,5412218701225;-4,1520863647026;-1,67022223931367;8,98382357800187;11,2798990171797;-2,16858124318201;-2,49204369032634;h
80912;Aira provincialis Jord., 1852;-2,16783593925383;26,8844516860299;-4,13394565504265;-4,75519562852887;-1,78472915464392;-2,03482834143345;-3,67185178850256;-2,69171482768473;d
80923;Aira tenorei Guss., 1827;-2,18497324893477;30,1892030060761;-4,52021909399507;-6,44527504225928;-1,79883790506452;-2,05091419129102;-3,70087873655829;-2,71299353689862;d
80955;Airopsis tenella (Cav.) Asch. & Graebn., 1899;-1,74883189604957;19,7262874557214;-2,74819358394184;-3,12639394413179;-1,43977282364144;-1,64153229589382;-2,96214829223203;-2,17145433401428;d
80978;Ajuga chamaepitys (L.) Schreb., 1773;-3,68280968430856;-6,6913072162265;3,39349984198281;16,5243157804617;-6,94142273295808;-7,91414409863864;2,71303223004972;-9,77049558347064;f
80980;Ajuga genevensis L., 1753;-4,6750896931206;-4,87656419053565;-9,34636077608215;-4,81974344014434;-2,42197840526493;-3,87450034532518;24,6676030966944;2,59341907337153;o
80983;Ajuga iva (L.) Schreb., 1773;5,56033801988705;5,25835792957292;16,0731264933181;-5,6105706678772;-3,98443611116042;-4,54278650770272;-8,19746728677018;-6,00929599455822;t
80988;Ajuga pyramidalis L., 1753;-4,15108978682008;-4,32998233935334;-8,58767278932131;-12,2449624562738;-3,41749614531829;-2,44989788604921;6,65690799362444;31,9700657947826;s
80990;Ajuga reptans L., 1753;-5,61676543774672;-3,82549681614453;-11,4835470121592;9,03703708438137;-1,66745103418234;4,04878531553358;10,3037872107591;-3,8148923302738;n
81019;Alcea biennis Winterl, 1788;-1,770030632413;0,0324293443755483;0,205191106146913;6,82674752777555;-1,45722525264879;-1,66143038355525;-2,99805443098569;-2,19777595363705;e
81023;Alcea rosea L., 1753;-2,36249187384066;1,06967330886298;0,214755302775341;7,49885019729573;-2,78129950722967;-3,17105093991417;-0,603352097087643;-4,19473459284415;e
81032;Alchemilla alpigena Buser, 1894;-4,80104058130762;-5,00794297285137;-9,93227505977573;-13,8660781419619;-3,95258559143439;-4,25633696828154;15,7094454011811;28,1817603379124;s
81033;Alchemilla alpina L., 1753;-4,36994649786953;-4,55827075091744;-9,04043818799014;-12,7278832626167;-2,98705466188643;-3,00258222783375;7,67354075533257;32,5344687019715;s
81055;Alchemilla colorata Buser, 1892;-2,42755837914574;-2,53217479005733;-5,02207326453629;-7,16085720608405;-1,99855262818126;-2,27861550817827;5,38641374254069;17,607349253432;q
81058;Alchemilla connivens Buser, 1894;-1,41918175512519;-1,48034185035828;-2,93596842455341;-4,18632894073077;-1,16837949230719;-1,33210784298003;2,23819674319262;11,3791010699892;k
81059;Alchemilla coriacea Buser, 1891;-3,18511847651562;-3,32238218403499;-6,58929502281162;-9,1723451416689;-2,20335167083707;0,780687707785134;1,06856932156919;26,5543393749953;l
81063;Alchemilla crinita Buser, 1892;-1,05779562562913;-1,10338166911298;-2,18834165903146;-3,12030536254956;-0,870858656105189;-0,992894563421323;0,543774944987825;9,82183639032238;k
81075;Alchemilla fissa Günther & Schummel, 1819;-3,12602023573762;-3,26073708551941;-6,46703403105054;-9,22119308180085;-2,57358010894871;-2,5500569000322;-2,13368784102976;33,1704950496197;s
81076;Alchemilla flabellata Buser, 1891;-4,4544794066919;-4,64644663269605;-9,21531779748474;-12,66116719021;-3,66726979746466;-3,10278907585082;8,90806175507045;31,9294853489354;s
